District,Area,YEAR,Max_Temp,Min_Temp,Rainfall, Humidity,Wind,Cloud,Sunshine,ALT
10,106540,1982,36.35,22.45,288.5,68.5,1.95,4.15,6.15,19
11,3980,1982,35.2,22.2,287,73,1,3.45,6.50775862068966,6
12,49160,1982,38.275,22.65,146.25,69.25,1.8,2.925,7.18103448275862,14
13,1080,1982,35.125,24.375,154.25,74.25,2.6,4.225,6.02068965517242,3
14,39610,1982,37.5,22.6,130.5,71,1.85,2.85,7.625,20
15,250,1982,36.625,23.575,170,74.75,2.15,4.2,6.62314814814815,63
16,269615,1982,35.85,21.55,213.25,72,1.475,3.575,7.575,34
17,7085,1982,35.55,21.375,547.75,77.5,1.4,4.575,6.5,35
1,6970,1983,35.675,23.55,180,79.75,1.55,3.9,7.75,4
2,36405,1983,36.975,22.2,129.75,69,1.425,2.825,7.425,20
3,145,1983,33.625,22.9,288,78.25,4.5,4.4,6.85,6
4,72455,1983,34.45,23.275,169,81.25,1.675,4.025,6.75,10
5,116205,1983,36.5,23.425,276,76.5,1.9,4.15,7.225,9
6,42690,1983,37.2,20.925,124.25,62,1.025,3.025,6.894,37
7,174165,1983,37.025,23.375,194,74.75,0.95,2.2,6.98534482758621,9
8,170555,1983,38.6,23.375,158.75,72.25,3.525,4,7.2,7
9,31515,1983,36.25,23.675,215,79,3.7,3.75,7.21583333333334,4
10,108435,1983,35.625,22.2,201.25,69.5,2.075,4.25,6.55,19
11,3980,1983,34.4,22.8,304,78,1.4,4.025,6.50775862068966,6
12,51140,1983,38.55,22.25,163.5,65.75,2.125,3.325,7.18103448275862,14
13,1125,1983,34.95,24.325,396,77.75,2.875,4.425,6.02068965517242,3
14,47710,1983,39.325,22,56,66,4.15,3.05,7.85,20
15,250,1983,34.8,23.825,249.25,74,1.5,4.075,6.62314814814815,63
16,275325,1983,36.25,20.725,172.5,71,1.15,3.575,7.225,34
17,5380,1983,33.975,21.65,533.5,79,1.125,5.025,6.45,35
1,6690,1984,35.825,23.5,352.75,82.75,1.55,4.675,6.675,4
2,41250,1984,37.575,22.675,245.25,74,1.525,3.175,6.575,20
3,140,1984,34.875,22.85,287,80,5.05,4.175,7.025,6
4,75345,1984,35.85,23.1,290.25,79.5,3.4,4,6.75,10
5,131390,1984,36.8,23.925,368.25,73.75,1.625,4.25,6.75,9
6,61015,1984,37.175,21.65,202.25,66,1.225,3.55,6.894,37
7,207775,1984,36.95,22.7,356.75,74.25,1.75,3.325,6.98534482758621,9
8,187125,1984,38.65,23.325,286.25,72.5,4.5,4,6.35,7
9,48740,1984,37.25,23.525,276.75,83.5,4.3,4.6,7.075,4
10,112300,1984,35.6,22.575,257.75,74.25,2.1,4.45,5.625,19
11,3700,1984,35.275,22.225,403.5,79.25,1.75,3.925,6.50775862068966,6
12,61095,1984,40.95,23.125,185.5,67,2.675,3.825,7.18103448275862,14
13,990,1984,35.85,24.35,239,78.25,3.55,4.2,6.02068965517242,3
14,63170,1984,39.875,22.825,107.25,68.5,3.05,3.15,6.825,20
