District,Area,YEAR,Max_Temp,Min_Temp,Rainfall, Humidity,Wind,Cloud,Sunshine,ALT
12,71160,1974,38.4333333333333,24.1666666666667,139.333333333333,74.6666666666667,3.8,4.66666666666667,6.87126436781609,14
13,29540,1974,35.9666666666667,24.1666666666667,454.666666666667,77.3333333333333,2.53333333333333,6.1,5.49195402298851,3
14,126005,1974,37.4666666666667,24.9,91,72,1,3.46666666666667,6.98571428571429,20
16,58800,1974,33.3,22.8333333333333,246.666666666667,78.6666666666667,1.56666666666667,4.23333333333333,6.23333333333333,34
17,650845,1974,34.0666666666667,22.6,638.333333333333,82.6666666666667,1.03333333333333,6.03333333333333,6.56666666666667,35
2,54035,1975,38.1666666666667,24.5,129,71.6666666666667,1.63333333333333,3.26666666666667,8.43333333333333,20
3,195320,1975,34.7333333333333,24.6,235,80.3333333333333,5.03333333333333,4.3,6.56666666666667,6
4,239990,1975,35.3666666666667,24.4,179,75.3333333333333,4.93333333333333,4.26666666666667,6.43535353535354,10
5,231935,1975,36.4,24.7666666666667,216.666666666667,78,2.1,4.7,8.73333333333333,9
6,11870,1975,33.9,23.3666666666667,181.666666666667,70.6666666666667,1.03333333333333,3.7,6.5,37
7,66545,1975,36.8,24.1333333333333,195,79.6666666666667,2.06666666666667,4.6,6.68735632183908,9
8,22170,1975,37.1333333333333,24.9333333333333,94,72.6666666666667,4.4,4.33333333333333,7.66666666666667,7
9,44700,1975,34.8333333333333,25.2,186.333333333333,79,1.93333333333333,4.06666666666667,6.86222222222222,4
10,177240,1975,36.7333333333333,23.5333333333333,39.3333333333333,78.3333333333333,0.4,4.23333333333333,5.72,19
11,175475,1975,35.1333333333333,24.4333333333333,272.333333333333,83,1.46666666666667,3.43333333333333,6.0632183908046,6
12,65410,1975,43.5,24.4,172,68,3.83333333333333,4.03333333333333,6.87126436781609,14
13,42320,1975,35.8333333333333,25,250.666666666667,82.6666666666667,2.13333333333333,4.76666666666667,5.49195402298851,3
