District,Area,YEAR,Max_Temp,Min_Temp,Rainfall, Humidity,Wind,Cloud,Sunshine,ALT
41929,551100,1978,34.7,26.1,275,85,1.1,5.65,4.69482758620689,9
41936,619325,1978,32.4,25.9,284.5,87,2.45,6.25,4.3,7
41947,110175,1978,35.35,26,321,88,1.15,5.2,4.12666666666667,4
41886,722490,1978,34.7,26.2,299.5,84,2.05,6.15,4.03428571428572,19
41953,329880,1978,30.65,25.4,659.5,87,1.75,6.2,4.10862068965518,6
41907,387125,1978,35.15,25.8,180.5,83.5,2.5,5.95,4.63275862068966,14
41960,140565,1978,33.55,25.5,548,82.5,2.5,6.5,3.37413793103449,3
41895,483970,1978,33,25.8,137.5,87,1.8,5.5,4.74571428571429,20
41859,996550,1978,35.05,26.55,363,83,0.55,5.45,4.74714285714286,34
41891,387890,1978,35.15,25.2,489,84.5,0.8,6.7,4.1,35
41950,441125,1979,34.4,25.95,600.5,89,1.55,5.85,5.4,4
41883,260115,1979,36.55,26.15,683,87,1.6,6.1,4.5,20
41978,187360,1979,34.45,24.75,683,85,5.45,6.3,4.75,6
41933,470095,1979,34.45,25.85,326.5,85.5,2.4,5.6,4.9,10
41923,376830,1979,34.5,26.45,396,85.5,1.75,6.15,4.95,9
41863,441005,1979,32.4,25.95,379,84.5,0.85,5.75,4.748,37
41929,531140,1979,34.65,26.25,336.5,86.5,0.6,6.1,4.69482758620689,9
41936,577205,1979,35.65,26.15,376.5,84.5,3.15,6.25,4.7,7
41947,106240,1979,35.8,26.6,483,84.5,1.05,5.15,4.12666666666667,4
41886,400835,1979,35.7,25.95,172.5,88,2.1,6.4,4.6,19
41953,360095,1979,35.9,25.9,582,83,2.7,6.7,4.10862068965518,6
41907,343425,1979,35.85,26,447.5,82.5,2.95,6.2,4.63275862068966,14
41960,100545,1979,34.85,25.7,530,88.5,1.75,5.95,3.37413793103449,3
41895,429340,1979,35.4,26.15,383.5,86.5,2.2,5.7,4.85,20
41966,77445,1979,34.5,25.25,657.5,86.5,1.35,5.85,4.2462962962963,63
41859,884060,1979,35,25.5,593.5,83.5,1.4,5.8,4.5,34
41891,374035,1979,35.95,25.15,805,87.5,1.85,6.95,4.1,35
41950,494995,1980,34.05,26.2,411.5,90,1.4,5.85,4.35,4
41883,258430,1980,34.65,26.25,323.5,86.5,1.3,5.65,4.65,20
41978,178215,1980,32.75,24.85,664.5,85,6,6.15,4.55,6
41933,460465,1980,34.15,25.35,450,85.5,2.35,4.95,4.9,10
41923,432070,1980,33.2,26.25,324.5,85.5,1.5,5.55,4.9,9
41863,483205,1980,32.65,26.05,379,84.5,0.85,5.75,4.748,37
41929,427805,1980,34.1,26.55,277.5,86,1.55,5.05,4.69482758620689,9
41936,574185,1980,36.35,26.25,309,86.5,3.65,6.4,4,7
41947,176710,1980,33.35,26.35,360.5,89.5,1.95,5.55,4.12666666666667,4
41886,423400,1980,34.1,26.1,386.5,81,2.9,6.7,4.65,19
41953,297360,1980,32.6,25.1,580,87.5,1.5,5.9,4.10862068965518,6
41907,350110,1980,33.55,26.65,153.5,85,2.85,5.8,4.63275862068966,14
41960,179930,1980,31.55,25.95,472.5,88.5,1.95,6.3,3.37413793103449,3
41895,313970,1980,35.75,26.4,298.5,87.5,2.15,5.75,4.65,20
41966,73035,1980,34.65,25.5,722.5,82.5,2.85,5.55,4.2462962962963,63
41859,819000,1980,34.15,26.5,427.5,84.5,1.15,5.9,5.25,34
41891,422195,1980,34.35,25.35,378,86,0.95,6.75,4.7,35
41950,374880,1981,32.7,25.55,369,89.5,1.2,6,3.6,4
41883,263170,1981,34.25,26.2,328.5,85.5,1.4,6.05,4.95,20
41978,217485,1981,33.1,24.85,582,85.5,5.65,6.5,4.5,6
41933,488535,1981,34.4,25.35,380.5,85.5,2,5.55,4.75,10
41923,417890,1981,34.9,26.2,272,86,1.6,6.45,4.55,9
41863,416430,1981,32.75,26.15,502,84.5,2.25,6.95,4.748,37
41929,517000,1981,33.6,26.45,583.5,87,1.4,5.05,4.69482758620689,9
41936,538100,1981,34.7,25.95,334.5,87,2.8,6.55,4,7
41947,114030,1981,33.95,26.35,346.5,88,2.8,5.65,4.12666666666667,4
41886,450075,1981,33.95,26,472.5,82.5,2.5,6.7,4.15,19
41953,261970,1981,31.65,25.55,880,87,1.5,5.9,4.10862068965518,6
41907,339990,1981,34,26.15,344.5,84.5,2.5,6.3,4.63275862068966,14
41960,168495,1981,32.75,25.65,456,88.5,3.15,6.55,3.37413793103449,3
41895,462170,1981,35.15,26.15,457,87,1.9,5.8,5.55,20
41966,75655,1981,32.85,25.3,354.5,85,1.85,5.7,4.2462962962963,63
41859,880780,1981,34.75,26.3,398,85.5,1.35,5.7,4.7,34
41891,502330,1981,35.1,25.05,930,88,1,6.85,4.6,35
41950,412110,1982,33.05,25.75,408,87.5,1.5,5.9,4.8,4
41883,254580,1982,35.05,26.15,311,86,1.7,5.75,4.6,20
41978,189495,1982,33.6,25.2,677.5,86.5,5.15,6.05,4.05,6
41933,488145,1982,34,25.45,369,85.5,2.15,5.35,4.6,10
41923,405185,1982,34,26.45,241,85,2.05,6.2,5.45,9
41863,381675,1982,34.35,25.65,310.5,83,1.05,6.35,4.748,37
41929,542225,1982,33.65,26.25,240.5,86,1.45,3.75,4.69482758620689,9
41936,516390,1982,35.75,25.95,183,85.5,3.35,6.4,4.55,7
41947,124055,1982,34.7,26.55,257.5,87,2.4,5.2,4.12666666666667,4
41886,478370,1982,34.3,26.1,459.5,81,2.55,6.35,3.9,19
41953,306995,1982,32.75,24.7,942.5,86,2.15,6.35,4.10862068965518,6
41907,380260,1982,35.8,26.1,203,81.5,2.05,5.2,4.63275862068966,14
41960,157170,1982,32.9,26.25,524,85.5,3.1,6.3,3.37413793103449,3
41895,360350,1982,36.05,26.2,203,85.5,2.25,5.65,4.95,20
41966,64535,1982,33.25,25.25,388,87,2.1,5.75,4.2462962962963,63
41859,932190,1982,36,26.45,410,83,1.6,5.9,5.25,34
41891,501775,1982,34.65,25.15,734,86.5,1.2,6.7,4.85,35
41950,442275,1983,33.85,25.95,487,87.5,1.3,6.15,3.7,4
41883,246355,1983,35.55,26.55,261,85.5,1.25,5.1,4.8,20
41978,183810,1983,33.5,24.95,837.5,83.5,4.45,6.45,3.85,6
41933,478180,1983,34.6,25.6,457,85,1.7,5.65,4.65,10
41923,428525,1983,34,26.55,308,85.5,1.8,6.05,5.1,9
41863,426560,1983,35.5,25.55,531.5,82.5,0.9,5.6,4.748,37
41929,545530,1983,34.85,26.7,426.5,86.5,1.05,4.75,4.69482758620689,9
41936,510865,1983,34.9,26,327,87,3.3,6,4.4,7
41947,124525,1983,32.4,26.15,405,89,3,5.8,4.12666666666667,4
41886,472820,1983,34.4,26.25,639,85,2.15,6.45,4.2,19
41953,307440,1983,34.1,25.65,1407,83.5,1.65,5.75,4.10862068965518,6
41907,368205,1983,36.1,26.1,286.5,82.5,1.1,5.4,4.63275862068966,14
41960,183135,1983,33.5,25.65,556,86.5,2.7,6.15,3.37413793103449,3
41895,532165,1983,35.15,26.2,435.5,85.5,3.65,5.05,5.65,20
41966,59070,1983,34.25,25.3,471.5,83.5,2.05,6.1,4.2462962962963,63
41859,820325,1983,34.75,26.3,487.5,84,1,5.95,5.35,34
41891,476845,1983,34.95,25.35,905,87.5,0.8,6.8,4.3,35
41950,439460,1984,34,25.25,439.5,90,1.2,7,3.85,4
41883,217360,1984,34.1,26,351.5,86.5,1.7,5.5,4.75,20
41978,180025,1984,34,24.45,564,85,5.95,6.8,4.5,6
41933,406795,1984,35.25,25.25,420,86,3.4,5.7,4.8,10
41923,385010,1984,33.95,26.1,502.5,86,1.3,6.35,4.25,9
41863,433295,1984,34.75,25.25,370,83,1.05,6.05,4.748,37
41929,467190,1984,34,25.5,312.5,85.5,1.75,5.6,4.69482758620689,9
